dog_id,gender,age,weight_lbs,activity_level,overall_health,lifespan_years
102,Male,3.4,63.8,High,Excellent,10.7
103,Female,3.3,64.9,Moderate,Fair,10.1
104,Male,1.1,63.6,Moderate,Fair,11.4
105,Female,10.5,56.7,High,Excellent,12.7
106,Male,5.2,73.9,Moderate,Fair,11.3
107,Male,8.4,66.5,High,Excellent,11.7
108,Female,3.6,64.3,Low,Fair,9.2
109,Male,5.9,66.5,Moderate,Excellent,12.8
110,Female,9.9,50.4,Moderate,Good,13.2
111,Male,5.6,63.8,High,Excellent,11.1
112,Female,4.7,61.2,High,Excellent,12.5
113,Male,9.5,65.6,Moderate,Good,12
114,Female,11.6,61.4,Low,Fair,11.9
115,Male,5.5,67.2,High,Excellent,12
116,Male,7.3,66.8,High,Excellent,10.3
117,Female,6.8,56.7,High,Excellent,13
118,Female,2.1,64.8,Low,Good,9.4
119,Female,1.5,61.8,Moderate,Fair,11.7
120,Male,1.4,69.7,Moderate,Excellent,13.2
121,Female,8.7,65,Moderate,Good,9
122,Male,4.8,68.4,Moderate,Fair,13.2
123,Male,9.6,74.2,Low,Fair,12
124,Male,3.3,59.8,Moderate,Good,11.2
125,Male,8.8,75.2,High,Excellent,10.8
126,Female,4,63.2,Low,Poor,9.6
127,Female,1.3,57.8,Moderate,Fair,10.6
128,Male,8.1,62.5,Moderate,Excellent,12.4
129,Female,5.4,61.8,Moderate,Excellent,9.9
130,Female,3.6,58.6,Low,Poor,10.6
131,Female,4.5,62.3,High,Good,11.3
132,Male,1.7,62.6,Moderate,Excellent,11.5
133,Female,1.9,58.8,Moderate,Excellent,11.5
134,Female,11.4,65.9,Moderate,Fair,12.8
135,Male,8.8,67,High,Good,11.2
136,Male,9.4,66.9,Low,Excellent,9.8
137,Male,10.8,66.5,Moderate,Good,12.3
138,Female,10.9,62.6,Low,Fair,11
139,Female,4.2,55.4,Moderate,Good,11.9
140,Male,9.4,71.4,Moderate,Excellent,11.7
141,Female,4.1,64,Low,Fair,8.5
142,Female,5.1,57.1,High,Excellent,13.3
143,Male,11.5,70.5,High,Good,12.1
144,Female,6.6,63.3,Moderate,Good,12.2
145,Female,1.5,52,High,Good,11.6
146,Female,2.1,53.2,Moderate,Good,9.3
147,Male,7.9,70.2,Low,Good,9.9
148,Male,7.9,69.2,Low,Fair,9.4
149,Female,5.1,61.3,High,Excellent,14.5
150,Male,1.4,72.7,Moderate,Excellent,10.3
151,Male,5.3,74.7,Moderate,Good,10.4
152,Male,2.1,63.7,High,Excellent,13.4
153,Female,4,54.5,High,Excellent,12.9
154,Female,11.2,62.8,Moderate,Fair,11.9
155,Female,10.5,66.5,Low,Excellent,13.6
156,Female,12,52.5,Moderate,Poor,12
157,Female,2.4,57,Low,Fair,13.4
158,Female,6.8,58.5,Moderate,Good,11.6
159,Female,8.3,53.6,Moderate,Good,9.8
160,Male,8.8,58.5,Moderate,Fair,9.1
161,Female,11.1,57,Moderate,Good,12.3
162,Male,2.5,66.4,High,Excellent,10.5
163,Male,1.5,59.7,Moderate,Excellent,11.9
164,Female,10.2,63.6,High,Excellent,13.7
165,Male,2.4,64.1,Moderate,Excellent,12
166,Male,4.9,64.4,Moderate,Fair,11.1
167,Female,6.3,65.4,Moderate,Good,8.3
168,Female,1.5,61.1,Low,Fair,9.6
169,Male,2.6,64.8,Moderate,Good,10.7
170,Female,5.2,60.1,Moderate,Fair,12.1
171,Male,3.6,72,Moderate,Excellent,11.5
172,Female,5.2,62.4,Moderate,Fair,11
173,Male,4.2,68.5,Low,Poor,10.9
174,Male,2.2,65,Low,Fair,10.6
175,Female,4.8,63.2,High,Excellent,11.5
176,Male,7.3,68.3,Moderate,Excellent,11.5
177,Female,9.4,53.7,Moderate,Fair,12.3
178,Male,6.9,70.2,Moderate,Good,13.4
179,Male,3.5,68.8,High,Good,10.2
180,Male,11.3,67.2,High,Excellent,13.7
181,Male,6.8,78.1,High,Excellent,11.8
182,Male,8.7,65.4,High,Excellent,9.9
183,Male,8.7,65.6,Moderate,Good,11
184,Female,7.7,57,Moderate,Fair,10.6
185,Male,1.5,67.8,Low,Fair,9.5
186,Male,7,72.5,Moderate,Poor,8.8
187,Male,3.6,57.6,Moderate,Excellent,11.4
188,Female,2.1,59.8,Moderate,Excellent,10.7
189,Male,9.3,62.1,Moderate,Fair,11.3
190,Male,7.8,75.2,Moderate,Poor,7.9
191,Female,4.9,55.6,High,Good,12.6
192,Male,1.9,69.7,Low,Poor,11.5
193,Male,1.1,75.1,Moderate,Excellent,11.7
194,Male,5.8,63.7,Low,Fair,12
195,Male,3,72.8,Moderate,Fair,11.1
196,Male,1.6,65.1,Moderate,Good,13.3
197,Female,8.5,56,Moderate,Poor,10.4
198,Female,3.8,49,Low,Fair,10
199,Male,4.7,66.6,High,Excellent,12.3
200,Male,11.4,70.7,Moderate,Good,11.6
201,Male,4.3,61.5,Moderate,Excellent,10.7
202,Male,8.2,66.7,Moderate,Excellent,11.4
203,Female,5.9,55,High,Good,12.5
204,Male,5,66,High,Good,12.4
205,Female,9.4,55,Moderate,Fair,12.7
206,Female,9.5,56.8,Moderate,Good,12.7
207,Male,3,76.1,Moderate,Good,7.4
208,Male,3.9,71.6,High,Excellent,13.7
209,Male,7.2,82.8,Low,Good,10.1
210,Male,7.7,64,Low,Good,10.3
211,Male,7,72.1,Moderate,Good,9.4
212,Female,5.7,68.6,Moderate,Good,11.7
213,Male,2.5,69.5,Low,Poor,11
214,Female,2.2,57.3,Moderate,Fair,12.8
215,Male,6,63,Moderate,Good,11.5
216,Female,10.9,57.6,High,Excellent,11.6
217,Male,4.2,74.5,Moderate,Excellent,13.6
218,Male,4.3,71.8,Moderate,Poor,8.2
219,Female,8.3,56.9,Moderate,Fair,12
220,Male,5.4,64.5,Low,Good,11.5
221,Female,1.7,61.6,Moderate,Fair,11.6
222,Female,2.1,67.3,Moderate,Poor,11.3
223,Female,9.9,58.2,Low,Good,10.5
224,Female,11.3,61.3,Low,Good,12.1
225,Male,7.4,68.7,Moderate,Excellent,8
226,Male,2.3,66,Moderate,Good,10.3
227,Male,3.1,65.5,High,Excellent,11.7
228,Male,7.6,66.6,Low,Good,11
229,Female,3.8,56.5,Moderate,Good,12
230,Female,10,56.3,Low,Poor,11.8
231,Female,2.5,60.7,Moderate,Good,9.2
232,Male,11.4,58.4,High,Excellent,12.5
233,Male,5.9,60.8,Low,Good,12
234,Female,10.5,56.7,Moderate,Fair,13.2
235,Female,4,58.1,Low,Poor,10.7
236,Female,10.7,63.7,Moderate,Excellent,13
237,Female,6.1,59.5,Low,Fair,10.4
238,Male,7.9,60.2,Moderate,Excellent,11.8
239,Male,1.3,65.3,Moderate,Excellent,11.6
240,Male,4.8,70.8,Moderate,Excellent,10.3
241,Female,7.2,55.4,Low,Good,12
242,Female,2.1,68.5,Moderate,Fair,8.8
243,Female,6.2,54.2,Low,Fair,11.2
244,Male,6.1,74.1,Moderate,Excellent,10
245,Male,1.5,64.9,Moderate,Excellent,10.7
246,Male,8.8,71.4,Moderate,Good,12.4
247,Male,7.5,72.5,Low,Poor,11.7
248,Female,2.7,58.6,Moderate,Excellent,13.4
249,Female,6.1,61.4,Moderate,Fair,10.7
250,Female,9.3,57.7,Moderate,Good,11.4
